"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2025","70.47","68.80","70.47","68.67","3.30M","0.64%"
"11/20/2025","70.02","71.00","71.50","70.02","5.28M","4.40%"
"11/19/2025","67.07","66.80","67.36","65.87","2.34M","0.57%"
"11/18/2025","66.69","67.37","67.75","66.28","3.25M","-2.36%"
"11/17/2025","68.30","68.40","68.85","67.98","2.17M","-0.77%"
"11/14/2025","68.83","69.05","69.25","67.98","2.19M","-1.09%"
"11/13/2025","69.59","69.65","70.46","69.58","2.32M","0.43%"
"11/12/2025","69.29","68.15","70.07","68.00","3.27M","2.58%"
"11/11/2025","67.55","67.41","67.74","67.30","1.93M","0.82%"
"11/10/2025","67.00","66.70","67.65","66.34","2.72M","2.31%"
"11/07/2025","65.49","65.70","66.16","65.32","1.81M","0.23%"
"11/06/2025","65.34","65.98","66.27","65.12","3.82M","-0.97%"
"11/05/2025","65.98","65.85","66.34","65.48","1.89M","-0.03%"
"11/04/2025","66.00","65.35","66.00","65.16","2.90M","0.00%"
"11/03/2025","66.00","66.30","66.63","65.36","3.62M","-1.58%"
"10/31/2025","67.06","66.31","67.06","66.25","2.47M","0.89%"
"10/30/2025","66.47","67.25","67.26","65.67","3.52M","-0.70%"
"10/29/2025","66.94","66.90","67.55","66.64","3.26M","0.30%"
"10/28/2025","66.74","67.00","67.63","66.11","5.87M","-3.54%"
"10/27/2025","69.19","68.44","69.65","68.05","3.33M","1.04%"
"10/24/2025","68.48","68.74","69.08","67.23","3.57M","-0.35%"
"10/23/2025","68.72","68.80","69.37","68.20","2.59M","0.51%"
"10/22/2025","68.37","67.70","68.37","66.90","4.94M","0.65%"
"10/21/2025","67.93","68.98","69.37","67.26","8.26M","-1.69%"
"10/20/2025","69.10","75.63","75.70","66.92","13.07M","-7.73%"
"10/17/2025","74.89","75.70","76.10","74.58","3.93M","-3.96%"
"10/16/2025","77.98","76.85","78.05","76.24","2.10M","1.50%"
"10/15/2025","76.83","77.34","78.17","76.66","2.72M","1.43%"
"10/14/2025","75.75","74.78","76.00","74.18","2.83M","0.41%"
"10/13/2025","75.44","75.63","75.91","74.79","1.64M","-0.08%"
"10/10/2025","75.50","75.99","77.04","75.10","2.48M","-0.05%"
"10/09/2025","75.54","75.19","76.20","75.12","1.64M","0.45%"
"10/08/2025","75.20","74.86","75.76","74.50","2.88M","0.76%"
"10/07/2025","74.63","75.50","75.72","74.49","2.57M","-1.15%"
"10/06/2025","75.50","76.95","77.09","73.21","3.90M","-3.21%"
"10/03/2025","78.00","78.29","78.87","76.84","1.79M","0.61%"
"10/02/2025","77.53","78.64","78.77","77.46","1.95M","-1.03%"
"10/01/2025","78.34","77.22","78.40","75.75","2.15M","1.31%"
"09/30/2025","77.33","77.75","77.92","77.01","2.00M","-0.15%"
"09/29/2025","77.45","77.83","77.90","77.08","1.78M","-0.12%"
"09/26/2025","77.54","76.44","77.93","76.43","2.12M","-1.13%"
"09/25/2025","78.43","77.81","78.43","77.35","1.83M","0.27%"
"09/24/2025","78.22","78.85","78.93","77.92","2.07M","-0.90%"
"09/23/2025","78.93","79.12","79.67","78.50","1.74M","0.32%"
"09/22/2025","78.68","79.63","79.67","78.41","1.60M","-1.16%"
"09/19/2025","79.60","79.54","79.93","79.02","3.49M","1.54%"
"09/18/2025","78.39","78.15","78.86","77.87","1.95M","0.93%"
"09/17/2025","77.67","79.24","79.39","77.08","2.52M","-1.89%"
"09/16/2025","79.17","80.07","80.76","78.82","2.39M","-1.44%"
"09/15/2025","80.33","79.70","80.79","79.52","1.72M","1.30%"
"09/12/2025","79.30","79.72","79.82","78.55","1.41M","-0.14%"
"09/11/2025","79.41","78.63","79.66","78.17","2.34M","1.60%"
"09/10/2025","78.16","78.20","78.60","77.47","1.84M","0.37%"
"09/09/2025","77.87","77.14","77.99","76.69","1.94M","1.53%"
"09/08/2025","76.70","76.58","77.20","76.12","1.77M","0.24%"
"09/05/2025","76.52","78.16","78.28","76.21","1.91M","-1.34%"
"09/04/2025","77.56","76.29","77.94","76.15","2.92M","1.80%"
"09/03/2025","76.19","75.82","76.63","75.29","2.34M","0.33%"
"09/02/2025","75.94","77.10","77.28","75.17","2.58M","-1.44%"
"09/01/2025","77.05","76.91","77.23","76.66","1.06M","0.29%"
"08/29/2025","76.83","76.76","76.88","76.00","2.25M","-0.09%"
"08/28/2025","76.90","76.98","77.77","76.28","1.86M","0.48%"
"08/27/2025","76.53","76.85","77.41","75.85","2.34M","-0.65%"
"08/26/2025","77.03","77.41","77.77","74.54","7.61M","-4.23%"
"08/25/2025","80.43","83.05","83.45","80.06","2.58M","-3.54%"
"08/22/2025","83.38","82.72","83.72","82.48","1.23M","0.80%"
"08/21/2025","82.72","82.56","82.92","81.84","1.27M","-0.71%"
"08/20/2025","83.31","82.65","83.33","82.37","1.21M","0.54%"
"08/19/2025","82.86","82.63","83.32","82.32","1.30M","0.69%"
"08/18/2025","82.29","83.78","83.90","80.73","1.58M","-1.68%"
"08/15/2025","83.70","84.44","84.70","83.59","1.64M","-0.29%"
"08/14/2025","83.94","83.25","84.09","83.12","1.81M","1.21%"
"08/13/2025","82.94","82.00","83.13","81.80","2.36M","1.46%"
"08/12/2025","81.75","82.00","82.26","81.54","1.56M","0.25%"
"08/11/2025","81.55","81.76","81.99","80.88","1.90M","0.06%"
"08/08/2025","81.50","79.79","81.50","79.44","2.36M","2.52%"
"08/07/2025","79.50","79.71","80.14","79.37","2.24M","0.25%"
"08/06/2025","79.30","79.01","79.34","78.68","1.70M","1.17%"
"08/05/2025","78.38","79.29","79.30","77.80","1.60M","-0.15%"
"08/04/2025","78.50","77.03","78.54","76.97","2.30M","2.57%"
"08/01/2025","76.53","79.70","79.70","75.88","4.22M","-4.41%"
"07/31/2025","80.06","79.77","80.38","79.00","3.77M","1.25%"
"07/30/2025","79.07","78.33","79.33","78.12","1.85M","0.75%"
"07/29/2025","78.48","77.79","79.08","77.49","2.01M","1.42%"
"07/28/2025","77.38","80.00","80.12","77.19","2.41M","-1.89%"
"07/25/2025","78.87","79.00","79.23","78.08","1.79M","0.10%"
"07/24/2025","78.79","80.00","81.05","78.20","3.34M","0.40%"
"07/23/2025","78.48","78.25","78.86","77.63","2.50M","1.82%"
"07/22/2025","77.08","77.38","77.72","76.65","1.87M","-0.85%"
"07/21/2025","77.74","77.71","77.79","76.40","2.05M","-0.13%"
"07/18/2025","77.84","77.62","77.84","76.73","2.28M","0.89%"
"07/17/2025","77.15","76.40","77.15","76.04","1.95M","1.41%"
"07/16/2025","76.08","76.10","76.93","75.75","1.86M","-0.20%"
"07/15/2025","76.23","76.96","77.04","76.01","1.39M","-0.59%"
"07/14/2025","76.68","75.75","76.70","75.40","1.15M","0.10%"
"07/11/2025","76.60","77.96","78.20","75.98","2.52M","-1.68%"
"07/10/2025","77.91","79.20","79.21","77.85","1.65M","-1.22%"
"07/09/2025","78.87","77.06","78.87","76.95","2.80M","3.22%"
"07/08/2025","76.41","76.19","76.43","75.48","2.04M","0.62%"
"07/07/2025","75.94","74.76","76.01","74.74","1.67M","1.42%"
"07/04/2025","74.88","76.22","76.33","74.59","1.92M","-2.22%"
"07/03/2025","76.58","76.92","77.11","76.25","1.36M","-0.07%"
"07/02/2025","76.63","76.13","77.16","75.97","1.87M","1.90%"
"07/01/2025","75.20","76.30","76.36","74.90","1.98M","-1.47%"
"06/30/2025","76.32","77.15","77.19","75.62","2.99M","-0.75%"
"06/27/2025","76.90","76.24","76.90","75.78","2.72M","2.17%"
"06/26/2025","75.27","75.80","76.33","75.23","2.19M","0.08%"
"06/25/2025","75.21","75.44","75.75","74.86","1.89M","-0.23%"
"06/24/2025","75.38","74.74","75.81","74.61","2.81M","3.15%"
"06/23/2025","73.08","74.00","74.24","72.59","2.31M","-1.64%"
"06/20/2025","74.30","75.29","75.99","74.07","6.45M","-0.46%"
"06/19/2025","74.64","76.05","76.32","74.59","2.49M","-2.52%"
"06/18/2025","76.57","76.15","76.65","75.67","2.00M","0.79%"
"06/17/2025","75.97","76.75","76.89","75.38","2.38M","-1.97%"
"06/16/2025","77.50","75.63","77.50","75.57","2.67M","2.95%"
"06/13/2025","75.28","75.27","75.86","75.05","3.18M","-1.57%"
"06/12/2025","76.48","75.50","77.06","75.34","2.28M","0.34%"
"06/11/2025","76.22","76.49","76.85","75.64","2.85M","-0.09%"
"06/10/2025","76.29","78.55","78.66","75.92","2.76M","-2.80%"
"06/09/2025","78.49","78.21","78.52","77.63","2.14M","0.45%"
"06/06/2025","78.14","77.77","78.43","77.39","2.41M","0.83%"
"06/05/2025","77.50","76.82","77.66","76.62","2.99M","1.12%"
"06/04/2025","76.64","77.34","78.45","76.27","3.05M","-0.75%"
"06/03/2025","77.22","76.83","77.30","75.87","2.77M","0.66%"
"06/02/2025","76.71","76.80","77.20","76.02","2.72M","-0.56%"
"05/30/2025","77.14","77.01","77.56","76.82","4.02M","0.40%"
"05/29/2025","76.83","77.51","77.64","76.67","1.87M","0.33%"
"05/28/2025","76.58","77.52","77.91","76.55","3.13M","-1.08%"
"05/27/2025","77.42","77.16","77.87","77.05","2.17M","0.26%"
"05/26/2025","77.22","76.92","77.40","76.74","2.93M","1.82%"
"05/23/2025","75.84","77.51","78.39","73.94","4.08M","-2.14%"
"05/22/2025","77.50","77.83","78.19","77.12","3.16M","-0.56%"
"05/21/2025","77.94","77.93","78.55","77.63","2.78M","0.39%"
"05/20/2025","77.64","77.21","78.47","77.15","2.98M","0.64%"
"05/19/2025","77.15","75.54","77.15","75.48","5.10M","-2.82%"
"05/16/2025","79.39","79.60","79.76","78.79","3.67M","-0.26%"
"05/15/2025","79.60","79.50","79.95","79.32","2.26M","-0.40%"
"05/14/2025","79.92","79.16","79.92","78.76","2.56M","1.06%"
"05/13/2025","79.08","79.24","79.49","78.60","2.19M","0.04%"
"05/12/2025","79.05","78.30","79.71","78.04","3.83M","2.00%"
"05/09/2025","77.50","77.29","77.50","76.89","2.30M","0.65%"
"05/08/2025","77.00","76.32","77.06","76.10","2.07M","1.29%"
"05/07/2025","76.02","75.92","76.74","75.77","2.27M","0.03%"
"05/06/2025","76.00","76.41","76.76","75.11","2.00M","-0.47%"
"05/05/2025","76.36","76.64","76.83","76.06","1.62M","0.00%"
