"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2025","7,982.65","7,881.10","7,996.46","7,875.87","64.78M","0.02%"
"11/20/2025","7,981.07","8,044.85","8,057.70","7,981.07","60.36M","0.34%"
"11/19/2025","7,953.77","7,964.77","8,005.75","7,919.36","55.04M","-0.18%"
"11/18/2025","7,967.93","8,017.73","8,032.51","7,925.06","68.56M","-1.86%"
"11/17/2025","8,119.02","8,155.93","8,176.10","8,109.82","42.96M","-0.63%"
"11/14/2025","8,170.09","8,186.14","8,202.48","8,084.23","54.65M","-0.76%"
"11/13/2025","8,232.49","8,270.85","8,314.23","8,227.88","54.23M","-0.11%"
"11/12/2025","8,241.24","8,190.68","8,280.97","8,185.03","61.92M","1.04%"
"11/11/2025","8,156.23","8,080.60","8,169.80","8,078.22","47.54M","1.25%"
"11/10/2025","8,055.51","8,044.09","8,077.18","8,017.47","52.95M","1.32%"
"11/07/2025","7,950.18","7,986.07","8,000.99","7,908.59","52.40M","-0.18%"
"11/06/2025","7,964.77","8,016.67","8,044.86","7,950.80","62.78M","-1.36%"
"11/05/2025","8,074.23","8,008.06","8,097.84","8,005.82","49.99M","0.08%"
"11/04/2025","8,067.53","8,014.47","8,067.58","7,963.69","54.45M","-0.52%"
"11/03/2025","8,109.79","8,118.84","8,151.00","8,094.41","47.26M","-0.14%"
"10/31/2025","8,121.07","8,150.22","8,161.81","8,106.95","60.68M","-0.44%"
"10/30/2025","8,157.29","8,180.35","8,206.84","8,114.74","74.72M","-0.53%"
"10/29/2025","8,200.88","8,198.71","8,226.32","8,186.01","51.92M","-0.19%"
"10/28/2025","8,216.58","8,219.53","8,243.64","8,204.01","52.32M","-0.27%"
"10/27/2025","8,239.18","8,237.20","8,252.64","8,202.72","46.33M","0.16%"
"10/24/2025","8,225.63","8,263.91","8,263.91","8,169.23","55.23M","0.00%"
"10/23/2025","8,225.78","8,225.45","8,257.47","8,215.53","66.58M","0.23%"
"10/22/2025","8,206.87","8,222.73","8,248.90","8,193.35","61.26M","-0.63%"
"10/21/2025","8,258.86","8,206.35","8,271.48","8,198.27","58.32M","0.64%"
"10/20/2025","8,206.07","8,213.20","8,239.67","8,151.35","62.66M","0.39%"
"10/17/2025","8,174.20","8,092.53","8,224.56","8,080.83","67.60M","-0.18%"
"10/16/2025","8,188.59","8,093.46","8,188.59","8,053.07","56.49M","1.38%"
"10/15/2025","8,077.00","8,029.97","8,130.72","8,024.54","72.83M","1.99%"
"10/14/2025","7,919.62","7,862.91","7,932.88","7,825.97","61.25M","-0.18%"
"10/13/2025","7,934.26","7,959.27","7,995.49","7,902.12","47.16M","0.21%"
"10/10/2025","7,918.00","8,049.57","8,082.53","7,905.83","61.20M","-1.53%"
"10/09/2025","8,041.36","8,074.12","8,109.77","8,041.36","50.47M","-0.23%"
"10/08/2025","8,060.13","7,983.37","8,070.64","7,983.37","58.21M","1.07%"
"10/07/2025","7,974.85","7,974.91","8,005.74","7,934.13","55.31M","0.04%"
"10/06/2025","7,971.78","8,035.33","8,035.72","7,909.46","80.27M","-1.36%"
"10/03/2025","8,081.54","8,093.01","8,097.24","8,040.36","52.96M","0.31%"
"10/02/2025","8,056.63","8,025.50","8,088.53","8,023.02","64.29M","1.13%"
"10/01/2025","7,966.95","7,894.29","7,984.82","7,865.40","63.08M","0.90%"
"09/30/2025","7,895.94","7,865.44","7,895.94","7,831.08","60.29M","0.19%"
"09/29/2025","7,880.87","7,899.02","7,901.23","7,870.47","46.22M","0.13%"
"09/26/2025","7,870.68","7,822.17","7,875.04","7,821.25","52.92M","0.97%"
"09/25/2025","7,795.42","7,797.97","7,819.70","7,760.07","51.88M","-0.41%"
"09/24/2025","7,827.45","7,871.22","7,872.57","7,810.05","52.94M","-0.57%"
"09/23/2025","7,872.02","7,867.69","7,919.07","7,857.11","48.99M","0.54%"
"09/22/2025","7,830.11","7,847.76","7,850.22","7,801.17","42.60M","-0.30%"
"09/19/2025","7,853.59","7,873.37","7,934.92","7,853.59","138.91M","-0.01%"
"09/18/2025","7,854.61","7,822.57","7,887.11","7,818.74","56.68M","0.87%"
"09/17/2025","7,786.98","7,841.55","7,846.09","7,777.96","53.23M","-0.40%"
"09/16/2025","7,818.22","7,890.53","7,903.04","7,811.12","59.04M","-1.00%"
"09/15/2025","7,896.93","7,848.20","7,935.31","7,843.46","49.86M","0.92%"
"09/12/2025","7,825.24","7,830.70","7,842.62","7,768.91","48.52M","0.02%"
"09/11/2025","7,823.52","7,781.80","7,848.38","7,773.57","54.25M","0.80%"
"09/10/2025","7,761.32","7,774.36","7,823.34","7,750.60","51.83M","0.15%"
"09/09/2025","7,749.39","7,750.92","7,791.65","7,729.88","49.09M","0.19%"
"09/08/2025","7,734.84","7,706.79","7,745.05","7,682.31","47.20M","0.78%"
"09/05/2025","7,674.78","7,723.97","7,732.04","7,649.40","55.62M","-0.31%"
"09/04/2025","7,698.92","7,701.46","7,727.76","7,676.84","63.71M","-0.27%"
"09/03/2025","7,719.71","7,699.62","7,736.76","7,671.53","58.86M","0.86%"
"09/02/2025","7,654.25","7,730.61","7,738.18","7,648.13","64.40M","-0.70%"
"09/01/2025","7,707.90","7,724.96","7,744.64","7,697.82","33.58M","0.05%"
"08/29/2025","7,703.90","7,743.44","7,764.29","7,702.21","53.29M","-0.76%"
"08/28/2025","7,762.60","7,770.69","7,833.04","7,734.96","51.18M","0.24%"
"08/27/2025","7,743.93","7,718.29","7,765.17","7,703.93","57.29M","0.44%"
"08/26/2025","7,709.81","7,726.24","7,749.24","7,668.08","131.79M","-1.70%"
"08/25/2025","7,843.04","7,943.00","7,946.07","7,836.96","48.42M","-1.59%"
"08/22/2025","7,969.69","7,923.39","7,997.35","7,923.39","40.03M","0.40%"
"08/21/2025","7,938.29","7,970.75","7,970.75","7,910.34","36.76M","-0.44%"
"08/20/2025","7,973.03","7,949.14","8,004.34","7,932.06","42.25M","-0.08%"
"08/19/2025","7,979.08","7,894.69","7,986.81","7,892.72","45.66M","1.21%"
"08/18/2025","7,884.05","7,929.42","7,929.42","7,856.90","39.33M","-0.50%"
"08/15/2025","7,923.45","7,917.06","7,945.27","7,896.56","45.15M","0.67%"
"08/14/2025","7,870.34","7,822.95","7,871.39","7,818.57","45.94M","0.84%"
"08/13/2025","7,804.97","7,775.23","7,819.69","7,769.07","48.81M","0.66%"
