"Date","Price","Open","High","Low","Change %"
"11/21/2025","88.790","88.820","88.900","88.790","0.08%"
"11/20/2025","88.720","88.770","88.770","88.710","-0.06%"
"11/19/2025","88.770","88.780","88.830","88.750","0.06%"
"11/18/2025","88.720","88.790","88.850","88.720","0.02%"
"11/17/2025","88.700","88.750","88.780","88.700","-0.02%"
"11/14/2025","88.720","88.810","88.890","88.710","-0.14%"
"11/13/2025","88.840","88.920","88.970","88.800","-0.11%"
"11/12/2025","88.940","88.810","88.940","88.780","0.11%"
"11/11/2025","88.840","88.760","88.850","88.750","0.09%"
"11/10/2025","88.760","88.630","88.780","88.630","0.05%"
"11/07/2025","88.720","88.720","88.810","88.710","-0.05%"
"11/06/2025","88.760","88.730","88.780","88.710","0.07%"
"11/05/2025","88.700","88.840","88.840","88.700","-0.07%"
"11/04/2025","88.760","88.820","88.860","88.760","0.01%"
"11/03/2025","88.750","88.830","88.840","88.750","-0.11%"
"10/31/2025","88.850","88.790","88.870","88.780","0.05%"
"10/30/2025","88.810","88.720","88.830","88.680","-0.01%"
"10/29/2025","88.820","88.810","88.830","88.770","0.08%"
"10/28/2025","88.750","88.770","88.800","88.740","0.01%"
"10/27/2025","88.740","88.730","88.750","88.700","0.01%"
"10/24/2025","88.730","88.950","88.970","88.730","-0.25%"
"10/23/2025","88.950","88.990","89.000","88.950","-0.07%"
"10/22/2025","89.010","89.060","89.070","88.970","-0.02%"
"10/21/2025","89.030","89.010","89.040","88.950","0.09%"
"10/20/2025","88.950","89.020","89.050","88.950","-0.11%"
"10/17/2025","89.050","89.240","89.250","89.010","-0.01%"
"10/16/2025","89.060","89.010","89.060","88.990","0.13%"
"10/15/2025","88.940","88.830","88.940","88.820","0.18%"
"10/14/2025","88.780","88.700","88.780","88.620","0.25%"
"10/13/2025","88.560","88.440","88.660","88.560","-0.02%"
"10/10/2025","88.580","88.370","88.590","88.370","0.29%"
"10/09/2025","88.320","88.270","88.320","88.220","0.02%"
"10/08/2025","88.300","88.220","88.320","88.200","0.16%"
"10/07/2025","88.160","88.210","88.280","88.160","-0.09%"
"10/06/2025","88.240","88.360","88.420","88.240","-0.09%"
"10/03/2025","88.320","88.270","88.320","88.230","0.01%"
"10/02/2025","88.310","88.270","88.310","88.220","0.06%"
"10/01/2025","88.260","88.110","88.290","88.090","0.08%"
"09/30/2025","88.190","88.280","88.280","88.180","-0.05%"
"09/29/2025","88.230","88.110","88.230","88.140","0.12%"
"09/26/2025","88.120","88.020","88.150","88.020","0.14%"
"09/25/2025","88.000","88.180","88.210","88.000","-0.18%"
"09/24/2025","88.160","88.110","88.170","88.100","0.09%"
"09/23/2025","88.080","88.090","88.110","88.030","0.02%"
"09/22/2025","88.060","88.140","88.190","88.050","-0.06%"
"09/19/2025","88.110","88.090","88.110","88.060","-0.07%"
"09/18/2025","88.170","88.220","88.270","88.130","-0.03%"
"09/17/2025","88.200","88.260","88.300","88.200","-0.01%"
"09/16/2025","88.210","88.210","88.260","88.180","0.00%"
"09/15/2025","88.210","88.190","88.290","88.210","0.05%"
"09/12/2025","88.170","88.290","88.290","88.170","-0.25%"
"09/11/2025","88.390","88.420","88.490","88.280","-0.05%"
"09/10/2025","88.430","88.510","88.510","88.400","0.00%"
"09/09/2025","88.430","88.360","88.470","88.330","0.00%"
"09/08/2025","88.430","88.300","88.430","88.290","0.15%"
"09/05/2025","88.300","88.200","88.390","88.160","0.18%"
"09/04/2025","88.140","88.080","88.170","88.080","0.11%"
"09/03/2025","88.040","87.910","88.040","87.880","0.17%"
"09/02/2025","87.890","88.020","87.920","87.840","-0.15%"
"09/01/2025","88.020","87.900","88.020","87.860","-0.03%"
"08/29/2025","88.050","88.080","88.110","88.050","-0.06%"
"08/28/2025","88.100","88.070","88.100","87.970","0.08%"
"08/27/2025","88.030","87.930","88.070","87.960","0.07%"
"08/26/2025","87.970","88.180","88.220","87.950","-0.03%"
"08/25/2025","88.000","88.080","88.100","87.930","-0.25%"
"08/22/2025","88.220","87.950","88.220","87.950","0.28%"
"08/21/2025","87.970","88.160","88.160","87.940","-0.17%"
"08/20/2025","88.120","88.090","88.200","88.080","0.10%"
"08/19/2025","88.030","87.930","88.040","87.890","0.16%"
"08/18/2025","87.890","87.950","88.060","87.890","-0.05%"
"08/15/2025","87.930","88.220","88.220","87.930","-0.33%"
"08/14/2025","88.220","88.330","88.380","88.210","-0.07%"
"08/13/2025","88.280","88.040","88.300","88.040","0.35%"
"08/12/2025","87.970","88.120","88.150","87.950","-0.16%"
"08/11/2025","88.110","88.140","88.230","88.110","-0.05%"
"08/08/2025","88.150","88.330","88.330","88.130","-0.24%"
"08/07/2025","88.360","88.320","88.400","88.240","0.05%"
"08/06/2025","88.320","88.370","88.380","88.310","-0.07%"
"08/05/2025","88.380","88.420","88.480","88.340","-0.01%"
"08/04/2025","88.390","88.140","88.390","88.100","0.18%"
"08/01/2025","88.230","87.980","88.370","87.970","0.17%"
"07/31/2025","88.080","88.120","88.120","88.020","0.03%"
"07/30/2025","88.050","88.110","88.180","88.040","-0.09%"
"07/29/2025","88.130","88.090","88.140","88.010","-0.01%"
"07/28/2025","88.140","88.070","88.180","88.020","0.16%"
"07/25/2025","88.000","87.880","88.000","87.750","-0.02%"
"07/24/2025","88.020","88.250","88.270","88.020","-0.55%"
"07/23/2025","88.510","88.430","88.520","88.390","0.01%"
"07/22/2025","88.500","88.370","88.510","88.350","0.12%"
"07/21/2025","88.390","88.220","88.400","88.220","0.37%"
"07/18/2025","88.060","87.990","88.060","87.970","-0.01%"
"07/17/2025","88.070","88.100","88.180","88.050","-0.07%"
"07/16/2025","88.130","87.920","88.130","87.880","0.25%"
"07/15/2025","87.910","87.880","88.020","87.880","0.10%"
"07/14/2025","87.820","87.730","87.820","87.660","-0.01%"
"07/11/2025","87.830","87.900","87.930","87.780","-0.05%"
"07/10/2025","87.870","88.090","88.090","87.870","-0.16%"
"07/09/2025","88.010","88.020","88.050","87.970","0.03%"
"07/08/2025","87.980","87.950","87.980","87.810","-0.06%"
"07/07/2025","88.030","88.300","88.300","88.030","-0.28%"
"07/04/2025","88.280","88.330","88.360","88.280","0.12%"
"07/03/2025","88.170","88.120","88.270","88.120","0.11%"
"07/02/2025","88.070","88.200","88.260","88.040","-0.22%"
"07/01/2025","88.260","88.270","88.410","88.240","0.10%"
"06/30/2025","88.170","88.230","88.300","88.170","-0.01%"
"06/27/2025","88.180","88.230","88.280","88.120","-0.08%"
"06/26/2025","88.250","88.280","88.310","88.230","0.09%"
"06/25/2025","88.170","88.330","88.360","88.090","-0.05%"
"06/24/2025","88.210","88.200","88.250","88.000","0.05%"
"06/23/2025","88.170","87.970","88.170","87.970","0.07%"
"06/20/2025","88.110","88.170","88.170","87.980","0.10%"
"06/19/2025","88.020","88.060","88.180","88.020","-0.15%"
"06/18/2025","88.150","88.020","88.190","88.020","0.15%"
"06/17/2025","88.020","88.020","88.170","88.010","-0.10%"
"06/16/2025","88.110","87.860","88.120","87.800","0.13%"
"06/13/2025","88.000","88.310","88.320","88.000","-0.31%"
"06/12/2025","88.270","88.330","88.430","88.250","0.16%"
"06/11/2025","88.130","88.140","88.250","88.070","-0.03%"
"06/10/2025","88.160","88.130","88.200","88.090","0.17%"
"06/09/2025","88.010","88.080","88.220","87.960","0.01%"
"06/06/2025","88.000","87.990","88.130","87.950","0.09%"
"06/05/2025","87.920","88.340","88.440","87.920","-0.41%"
"06/04/2025","88.280","88.400","88.400","88.230","-0.09%"
"06/03/2025","88.360","88.440","88.450","88.360","0.08%"
"06/02/2025","88.290","88.330","88.330","88.190","-0.09%"
"05/30/2025","88.370","88.320","88.370","88.180","0.07%"
