"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2025","623.00","610.80","623.00","609.10","451.39K","0.55%"
"11/20/2025","619.60","614.10","626.80","611.90","406.56K","1.64%"
"11/19/2025","609.60","608.70","614.70","603.70","329.53K","-0.28%"
"11/18/2025","611.30","615.00","617.70","606.10","499.29K","-2.04%"
"11/17/2025","624.00","632.00","634.50","620.10","321.63K","-2.04%"
"11/14/2025","637.00","635.80","643.90","628.30","357.87K","0.03%"
"11/13/2025","636.80","650.00","654.70","636.00","450.28K","-1.61%"
"11/12/2025","647.20","637.00","650.40","635.00","487.41K","2.26%"
"11/11/2025","632.90","622.10","639.10","621.30","405.42K","2.43%"
"11/10/2025","617.90","616.20","620.60","611.20","323.78K","2.44%"
"11/07/2025","603.20","602.20","606.40","600.60","291.70K","0.53%"
"11/06/2025","600.00","610.80","617.10","598.50","403.70K","-2.09%"
"11/05/2025","612.80","596.30","617.60","591.40","286.52K","0.26%"
"11/04/2025","611.20","609.90","612.50","602.00","291.67K","-0.91%"
"11/03/2025","616.80","612.70","621.70","609.00","310.32K","0.77%"
"10/31/2025","612.10","607.30","613.70","605.70","367.19K","0.33%"
"10/30/2025","610.10","614.90","618.60","605.20","286.36K","-1.41%"
"10/29/2025","618.80","611.30","620.20","610.00","367.28K","0.68%"
"10/28/2025","614.60","606.60","617.00","606.40","253.83K","0.51%"
"10/27/2025","611.50","613.00","614.40","603.20","291.32K","-0.16%"
"10/24/2025","612.50","622.00","624.20","609.00","276.68K","-1.34%"
"10/23/2025","620.80","622.30","631.70","620.60","370.31K","-0.39%"
"10/22/2025","623.20","610.90","623.20","606.70","709.68K","1.04%"
"10/21/2025","616.80","609.20","619.60","608.70","381.07K","0.77%"
"10/20/2025","612.10","607.20","614.10","605.30","360.73K","1.06%"
"10/17/2025","605.70","597.00","608.00","594.10","429.37K","0.58%"
"10/16/2025","602.20","598.70","607.90","593.30","553.17K","0.72%"
"10/15/2025","597.90","602.00","611.80","585.50","1.38M","12.22%"
"10/14/2025","532.80","534.00","536.00","527.40","448.09K","-1.41%"
"10/13/2025","540.40","548.20","557.10","535.90","518.10K","-1.03%"
"10/10/2025","546.00","562.00","567.70","543.80","582.76K","-2.36%"
"10/09/2025","559.20","585.00","585.30","558.80","535.91K","-2.83%"
"10/08/2025","575.50","555.70","576.90","554.80","651.39K","2.77%"
"10/07/2025","560.00","546.00","563.20","545.00","689.14K","3.63%"
"10/06/2025","540.40","551.00","551.40","537.70","600.60K","-2.30%"
"10/03/2025","553.10","542.90","553.10","539.60","586.96K","1.88%"
"10/02/2025","542.90","533.80","544.60","533.30","561.07K","3.61%"
"10/01/2025","524.00","523.30","529.80","521.70","381.64K","0.67%"
"09/30/2025","520.50","522.00","524.40","516.70","461.95K","-0.50%"
"09/29/2025","523.10","519.10","525.80","514.40","398.49K","1.43%"
"09/26/2025","515.70","510.00","520.40","508.80","395.23K","1.76%"
"09/25/2025","506.80","509.10","514.20","504.60","394.95K","-0.45%"
"09/24/2025","509.10","521.30","521.60","507.70","530.17K","-2.69%"
"09/23/2025","523.20","510.00","530.10","507.60","502.09K","3.20%"
"09/22/2025","507.00","510.60","512.90","502.50","287.00K","-0.71%"
"09/19/2025","510.60","514.00","521.80","510.60","884.98K","-1.35%"
"09/18/2025","517.60","509.60","525.30","509.30","529.83K","1.23%"
"09/17/2025","511.30","510.10","512.30","503.50","508.17K","0.71%"
"09/16/2025","507.70","503.80","516.10","502.60","559.41K","0.69%"
"09/15/2025","504.20","492.80","506.20","492.30","420.58K","2.76%"
"09/12/2025","490.65","486.50","494.15","483.05","382.13K","0.68%"
"09/11/2025","487.35","490.85","493.45","483.55","357.77K","-0.49%"
"09/10/2025","489.75","491.25","497.85","486.60","431.68K","-0.46%"
"09/09/2025","492.00","495.45","503.50","487.90","339.90K","-0.84%"
"09/08/2025","496.15","498.15","499.35","492.85","294.08K","-0.02%"
"09/05/2025","496.25","500.00","503.10","490.60","518.33K","-0.57%"
"09/04/2025","499.10","516.80","520.00","498.90","595.88K","-4.17%"
"09/03/2025","520.80","518.10","524.80","516.50","594.78K","1.52%"
"09/02/2025","513.00","512.10","523.70","511.40","566.52K","1.85%"
"09/01/2025","503.70","505.50","508.90","501.70","206.30K","-0.08%"
"08/29/2025","504.10","510.00","515.60","504.10","452.29K","-1.75%"
"08/28/2025","513.10","502.70","525.50","502.70","638.11K","2.21%"
"08/27/2025","502.00","486.80","507.10","486.20","518.34K","3.24%"
"08/26/2025","486.25","483.10","495.35","482.65","2.47M","-0.37%"
"08/25/2025","488.05","495.25","495.60","486.10","286.20K","-1.42%"
