"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2025","55.97","54.75","56.04","54.34","4.85M","0.54%"
"11/20/2025","55.67","55.95","56.14","55.52","3.03M","0.49%"
"11/19/2025","55.40","56.10","56.16","54.93","3.53M","-0.13%"
"11/18/2025","55.47","55.87","55.99","55.07","4.51M","-1.88%"
"11/17/2025","56.53","56.03","56.75","55.84","2.66M","0.53%"
"11/14/2025","56.23","56.10","56.59","55.64","3.11M","0.07%"
"11/13/2025","56.19","55.40","56.25","55.35","3.64M","1.61%"
"11/12/2025","55.30","55.50","55.88","55.27","3.83M","-0.07%"
"11/11/2025","55.34","54.35","55.35","54.28","4.11M","2.41%"
"11/10/2025","54.04","54.12","54.16","53.59","2.78M","0.86%"
"11/07/2025","53.58","53.35","53.84","52.93","2.74M","0.64%"
"11/06/2025","53.24","53.03","53.48","52.93","3.36M","-0.82%"
"11/05/2025","53.68","53.38","53.89","53.34","2.18M","0.15%"
"11/04/2025","53.60","53.36","53.60","52.47","3.15M","-0.35%"
"11/03/2025","53.79","54.25","54.40","53.45","2.66M","-0.30%"
"10/31/2025","53.95","53.92","54.29","53.67","3.20M","0.58%"
"10/30/2025","53.64","53.35","53.71","52.40","4.47M","-0.92%"
"10/29/2025","54.14","53.60","54.32","53.33","3.32M","1.23%"
"10/28/2025","53.48","53.16","53.84","53.15","2.71M","-0.54%"
"10/27/2025","53.77","53.80","53.86","53.29","2.34M","-0.26%"
"10/24/2025","53.91","53.60","53.99","53.55","2.60M","-0.35%"
"10/23/2025","54.10","54.55","54.68","53.76","4.52M","2.02%"
"10/22/2025","53.03","53.38","53.59","52.61","4.18M","0.72%"
"10/21/2025","52.65","52.48","52.85","52.43","2.61M","0.29%"
"10/20/2025","52.50","52.61","52.83","52.24","2.78M","-0.40%"
"10/17/2025","52.71","51.50","52.72","51.49","3.28M","0.27%"
"10/16/2025","52.57","52.30","52.69","52.20","4.12M","0.88%"
"10/15/2025","52.11","50.85","52.28","50.83","7.15M","3.70%"
"10/14/2025","50.25","49.65","50.36","49.24","5.39M","0.81%"
"10/13/2025","49.85","50.24","50.30","49.72","3.21M","-0.31%"
"10/10/2025","50.00","50.73","51.01","49.83","5.39M","-2.23%"
"10/09/2025","51.14","51.18","51.67","51.09","2.38M","0.04%"
"10/08/2025","51.12","51.04","51.27","50.75","3.07M","0.49%"
"10/07/2025","50.87","51.70","51.75","50.51","3.26M","-0.86%"
"10/06/2025","51.31","51.24","51.47","50.49","4.28M","0.49%"
"10/03/2025","51.06","50.98","51.30","50.85","3.85M","0.16%"
"10/02/2025","50.98","51.54","51.82","50.98","4.24M","-1.18%"
"10/01/2025","51.59","51.05","51.67","51.00","5.92M","-0.27%"
"09/30/2025","51.73","52.53","52.58","51.16","8.80M","-2.49%"
"09/29/2025","53.05","53.91","54.20","52.95","4.42M","-2.21%"
"09/26/2025","54.25","53.69","54.35","53.58","4.25M","1.63%"
"09/25/2025","53.38","53.05","53.54","52.70","3.70M","-0.22%"
"09/24/2025","53.50","52.34","53.69","52.25","5.74M","2.12%"
"09/23/2025","52.39","51.57","52.76","51.55","4.93M","1.28%"
"09/22/2025","51.73","51.56","52.03","51.48","3.33M","0.31%"
"09/19/2025","51.57","52.12","52.39","51.57","17.76M","-0.88%"
"09/18/2025","52.03","51.63","52.27","51.49","4.43M","0.58%"
"09/17/2025","51.73","52.40","52.62","51.62","3.76M","-1.34%"
"09/16/2025","52.43","52.60","52.78","52.01","2.90M","-0.29%"
"09/15/2025","52.58","52.31","53.00","52.31","2.84M","0.88%"
"09/12/2025","52.12","51.82","52.47","51.62","4.00M","-0.13%"
"09/11/2025","52.19","53.06","53.23","52.03","3.67M","-1.08%"
"09/10/2025","52.76","52.68","52.92","52.29","2.56M","0.04%"
"09/09/2025","52.74","52.06","52.95","52.06","2.80M","1.62%"
"09/08/2025","51.90","52.37","52.64","51.71","2.91M","0.15%"
"09/05/2025","51.82","52.69","52.98","51.58","3.88M","-1.78%"
"09/04/2025","52.76","52.63","53.20","52.59","2.53M","-0.04%"
"09/03/2025","52.78","53.78","53.99","52.76","3.06M","-1.40%"
"09/02/2025","53.53","53.50","54.52","53.37","3.55M","0.15%"
"09/01/2025","53.45","53.80","53.86","53.32","1.62M","-0.09%"
"08/29/2025","53.50","53.14","53.81","53.07","3.26M","0.75%"
"08/28/2025","53.10","53.43","53.50","52.82","2.19M","-0.21%"
"08/27/2025","53.21","53.09","53.67","52.97","2.36M","0.57%"
"08/26/2025","52.91","53.68","53.77","52.89","6.26M","-2.20%"
"08/25/2025","54.10","54.45","54.58","54.03","2.26M","-0.97%"
"08/22/2025","54.63","54.66","54.94","54.49","2.62M","0.63%"
"08/21/2025","54.29","54.28","54.33","54.07","2.10M","0.52%"
"08/20/2025","54.01","53.59","54.19","53.39","2.43M","0.58%"
"08/19/2025","53.70","52.86","53.80","52.78","2.95M","1.28%"
"08/18/2025","53.02","53.23","53.32","52.73","2.03M","-0.84%"
"08/15/2025","53.47","53.00","53.58","53.00","3.71M","1.71%"
"08/14/2025","52.57","52.54","52.61","52.14","2.16M","0.11%"
"08/13/2025","52.51","52.85","52.99","52.12","3.25M","-1.24%"
"08/12/2025","53.17","52.85","53.19","52.77","2.52M","1.24%"
"08/11/2025","52.52","52.69","52.95","52.36","1.89M","-0.36%"
"08/08/2025","52.71","52.18","52.86","52.13","2.30M","0.63%"
"08/07/2025","52.38","51.83","52.85","51.80","2.81M","-0.23%"
"08/06/2025","52.50","52.28","53.13","52.23","3.23M","1.16%"
"08/05/2025","51.90","51.61","52.29","51.49","2.51M","0.62%"
"08/04/2025","51.58","51.35","51.70","51.15","2.99M","1.00%"
"08/01/2025","51.07","52.15","52.19","50.99","4.36M","-1.83%"
"07/31/2025","52.02","52.13","52.54","51.83","4.55M","-0.52%"
"07/30/2025","52.29","52.94","53.14","52.29","3.26M","-0.46%"
"07/29/2025","52.53","52.48","53.07","52.35","3.58M","0.25%"
"07/28/2025","52.40","51.87","52.56","51.75","4.04M","2.08%"
"07/25/2025","51.33","51.27","51.59","50.67","4.12M","-0.25%"
"07/24/2025","51.46","52.96","52.97","50.98","5.70M","-3.52%"
"07/23/2025","53.34","53.17","53.81","53.13","4.43M","1.02%"
"07/22/2025","52.80","52.65","53.07","52.61","2.44M","-0.11%"
"07/21/2025","52.86","53.18","53.24","52.63","2.78M","-0.55%"
"07/18/2025","53.15","53.61","53.65","53.10","3.59M","0.34%"
"07/17/2025","52.97","52.91","53.20","52.68","3.62M","-0.23%"
"07/16/2025","53.09","53.53","54.00","53.09","2.88M","-0.73%"
"07/15/2025","53.48","53.07","53.78","53.04","2.30M","0.26%"
"07/14/2025","53.34","53.83","54.32","53.31","2.47M","-0.98%"
"07/11/2025","53.87","53.55","54.02","53.43","3.33M","0.69%"
"07/10/2025","53.50","53.52","53.73","52.88","3.36M","0.41%"
"07/09/2025","53.28","53.32","53.65","53.26","4.04M","0.83%"
"07/08/2025","52.84","51.73","52.90","51.66","3.87M","2.03%"
"07/07/2025","51.79","52.70","52.72","51.79","4.41M","-2.23%"
"07/04/2025","52.97","53.01","53.25","52.91","2.36M","-0.75%"
"07/03/2025","53.37","53.96","53.98","53.21","3.07M","-0.02%"
"07/02/2025","53.38","52.81","53.80","52.69","4.00M","1.97%"
"07/01/2025","52.35","52.31","52.44","51.95","2.97M","0.48%"
"06/30/2025","52.10","52.61","52.69","52.10","4.46M","-0.80%"
"06/27/2025","52.52","52.57","52.82","52.35","3.58M","0.02%"
"06/26/2025","52.51","52.57","52.69","51.94","3.88M","0.44%"
"06/25/2025","52.28","52.37","52.71","52.21","3.75M","-0.42%"
"06/24/2025","52.50","51.30","53.07","51.27","8.46M","-3.28%"
"06/23/2025","54.28","55.09","55.17","54.28","4.56M","-0.70%"
"06/20/2025","54.66","54.65","54.94","54.22","14.57M","-0.44%"
"06/19/2025","54.90","54.49","55.13","54.30","6.47M","0.55%"
"06/18/2025","54.60","55.81","55.81","54.50","6.15M","-1.64%"
"06/17/2025","55.51","54.64","55.60","54.59","5.78M","1.82%"
"06/16/2025","54.52","55.35","55.41","54.25","6.09M","-0.51%"
"06/13/2025","54.80","56.24","56.55","54.43","10.24M","0.11%"
"06/12/2025","54.74","54.12","54.85","54.01","6.79M","2.22%"
"06/11/2025","53.55","53.07","53.89","53.07","4.73M","-0.07%"
"06/10/2025","53.59","52.57","53.59","52.54","5.40M","2.41%"
"06/09/2025","52.33","52.11","52.44","51.96","2.56M","0.06%"
"06/06/2025","52.30","52.11","52.30","51.86","2.36M","0.83%"
"06/05/2025","51.87","51.72","52.52","51.69","3.17M","-0.77%"
"06/04/2025","52.27","53.03","53.29","52.20","3.57M","-1.43%"
"06/03/2025","53.03","52.71","53.12","52.34","3.48M","0.66%"
"06/02/2025","52.68","51.72","53.03","51.69","4.50M","1.97%"
"05/30/2025","51.66","51.87","52.18","51.50","17.46M","0.49%"
"05/29/2025","51.41","52.00","52.23","51.38","2.31M","-0.45%"
"05/28/2025","51.64","51.63","51.99","51.57","3.52M","0.19%"
"05/27/2025","51.54","51.55","52.15","51.51","3.55M","-0.46%"
"05/26/2025","51.78","51.54","51.80","51.35","3.23M","1.59%"
"05/23/2025","50.97","51.58","51.83","50.43","4.33M","-1.03%"
"05/22/2025","51.50","51.94","52.05","51.30","4.03M","-1.57%"
"05/21/2025","52.32","53.00","53.13","52.25","3.88M","-1.30%"
"05/20/2025","53.01","52.80","53.15","52.38","3.32M","0.25%"
"05/19/2025","52.88","53.27","53.43","52.59","2.94M","-0.66%"
"05/16/2025","53.23","53.09","53.46","52.98","4.09M","0.70%"
"05/15/2025","52.86","52.41","52.86","52.09","4.32M","-0.47%"
"05/14/2025","53.11","53.64","53.72","52.68","3.58M","-0.56%"
"05/13/2025","53.41","52.81","53.41","52.65","3.37M","0.64%"
"05/12/2025","53.07","52.86","53.66","52.86","5.38M","2.27%"
"05/09/2025","51.89","51.34","52.13","51.29","4.73M","1.65%"
"05/08/2025","51.05","50.64","51.15","50.55","4.39M","0.59%"
"05/07/2025","50.75","50.77","51.24","50.48","4.94M","-0.61%"
"05/06/2025","51.06","51.19","51.33","50.63","4.76M","1.09%"
"05/05/2025","50.51","50.41","51.03","50.12","4.15M","-0.69%"
"05/02/2025","50.86","51.55","51.89","50.10","6.58M","-0.59%"
"04/30/2025","51.16","51.19","51.24","50.08","8.34M","-2.27%"
"04/29/2025","52.35","52.87","52.96","52.06","4.38M","-1.08%"
"04/28/2025","52.92","53.00","53.10","52.71","3.51M","0.30%"
"04/25/2025","52.76","52.56","52.96","52.31","3.83M","1.17%"
"04/24/2025","52.15","52.11","52.51","51.87","4.29M","0.31%"
"04/23/2025","51.99","52.60","53.32","51.74","5.58M","0.23%"
"04/22/2025","51.87","51.67","52.02","51.28","3.37M","0.43%"
"04/17/2025","51.65","51.54","51.99","51.04","4.39M","-0.06%"
"04/16/2025","51.68","49.96","51.70","49.85","4.25M","2.11%"
"04/15/2025","50.61","50.26","51.05","50.14","4.39M","0.78%"
"04/14/2025","50.22","49.65","50.54","49.50","3.90M","3.20%"
"04/11/2025","48.67","49.18","49.56","48.43","6.23M","-1.72%"
"04/10/2025","49.51","52.14","52.43","49.51","8.81M","2.61%"
"04/09/2025","48.26","48.66","49.54","47.65","7.59M","-4.35%"
"04/08/2025","50.45","51.56","51.60","49.92","6.95M","0.32%"
"04/07/2025","50.29","49.56","52.70","48.60","13.42M","-5.24%"
"04/04/2025","53.07","56.00","56.06","52.96","9.36M","-6.24%"
"04/03/2025","56.60","58.28","59.01","56.29","6.89M","-4.73%"
