"Date","Price","Open","High","Low","Vol.","Change %"
"11/21/2025","119.20","116.25","119.45","116.00","1.33M","2.05%"
"11/20/2025","116.80","118.35","118.95","115.55","892.46K","-0.89%"
"11/19/2025","117.85","117.00","118.80","115.40","731.25K","0.99%"
"11/18/2025","116.70","117.50","117.65","116.35","836.22K","-1.52%"
"11/17/2025","118.50","119.45","119.95","118.35","648.31K","-0.84%"
"11/14/2025","119.50","119.60","120.60","118.70","744.80K","-0.91%"
"11/13/2025","120.60","120.35","121.05","120.15","727.36K","0.58%"
"11/12/2025","119.90","118.75","120.35","118.55","650.83K","1.27%"
"11/11/2025","118.40","117.80","118.70","117.30","406.54K","1.24%"
"11/10/2025","116.95","117.40","117.50","115.95","509.67K","1.17%"
"11/07/2025","115.60","116.45","116.80","114.90","560.37K","-0.73%"
"11/06/2025","116.45","117.05","117.30","116.30","672.34K","-0.60%"
"11/05/2025","117.15","116.45","117.65","116.20","537.01K","0.82%"
"11/04/2025","116.20","114.20","116.40","113.80","695.45K","0.65%"
"11/03/2025","115.45","115.75","115.95","115.15","573.21K","-0.39%"
"10/31/2025","115.90","115.80","116.40","115.35","791.07K","-0.43%"
"10/30/2025","116.40","116.50","116.80","115.65","776.00K","0.22%"
"10/29/2025","116.15","117.40","117.85","115.95","850.72K","-1.06%"
"10/28/2025","117.40","119.55","119.65","117.20","1.08M","-2.17%"
"10/27/2025","120.00","120.40","120.70","118.80","802.20K","-0.33%"
"10/24/2025","120.40","123.15","123.35","118.35","1.05M","-1.99%"
"10/23/2025","122.85","121.70","122.95","121.10","637.57K","0.53%"
"10/22/2025","122.20","121.75","122.35","121.20","899.44K","1.12%"
"10/21/2025","120.85","121.15","121.35","120.35","521.98K","-0.49%"
"10/20/2025","121.45","121.55","121.70","119.90","624.74K","0.04%"
"10/17/2025","121.40","120.05","122.15","119.75","944.28K","-0.33%"
"10/16/2025","121.80","120.05","121.80","119.20","948.58K","1.16%"
"10/15/2025","120.40","121.40","121.80","120.25","988.62K","0.80%"
"10/14/2025","119.45","116.00","120.10","116.00","1.19M","0.93%"
"10/13/2025","118.35","118.35","119.10","117.10","679.39K","0.77%"
"10/10/2025","117.45","118.10","119.25","117.40","731.98K","-0.84%"
"10/09/2025","118.45","117.50","119.05","117.45","781.99K","1.28%"
"10/08/2025","116.95","115.65","117.80","115.30","1.14M","1.17%"
"10/07/2025","115.60","115.70","115.90","113.95","1.02M","0.00%"
"10/06/2025","115.60","115.00","116.85","113.50","1.44M","-1.99%"
"10/03/2025","117.95","119.20","119.25","117.15","912.67K","-0.42%"
"10/02/2025","118.45","118.60","118.85","117.45","663.90K","0.04%"
"10/01/2025","118.40","117.90","118.65","117.15","869.83K","0.38%"
"09/30/2025","117.95","117.00","117.95","116.20","942.01K","1.42%"
"09/29/2025","116.30","117.15","117.20","115.85","701.93K","-0.39%"
"09/26/2025","116.75","116.20","116.90","116.05","595.78K","1.30%"
"09/25/2025","115.25","115.15","115.60","114.30","780.36K","-0.26%"
"09/24/2025","115.55","117.35","117.65","114.85","898.24K","-1.37%"
"09/23/2025","117.15","117.55","118.20","117.15","640.15K","0.17%"
"09/22/2025","116.95","117.05","117.30","116.15","556.51K","-0.55%"
"09/19/2025","117.60","118.00","118.50","117.35","1.57M","0.30%"
"09/18/2025","117.25","117.05","118.30","116.50","664.10K","0.73%"
"09/17/2025","116.40","117.90","117.90","116.25","781.35K","-1.23%"
"09/16/2025","117.85","119.60","119.85","117.55","883.51K","-1.42%"
"09/15/2025","119.55","119.00","120.50","118.70","649.48K","0.89%"
"09/12/2025","118.50","118.50","119.00","117.60","530.24K","-0.08%"
"09/11/2025","118.60","118.20","119.35","118.00","501.06K","0.21%"
"09/10/2025","118.35","118.05","119.05","117.70","713.53K","0.59%"
"09/09/2025","117.65","117.50","118.10","117.15","755.30K","0.30%"
"09/08/2025","117.30","116.45","117.45","115.90","773.71K","1.51%"
"09/05/2025","115.55","116.45","116.55","115.50","820.93K","-0.30%"
"09/04/2025","115.90","114.20","116.10","114.20","984.02K","1.40%"
"09/03/2025","114.30","113.05","114.65","112.40","1.01M","1.11%"
"09/02/2025","113.05","115.10","115.60","112.95","1.26M","-2.08%"
"09/01/2025","115.45","115.70","116.25","114.75","622.09K","-0.39%"
"08/29/2025","115.90","117.70","117.75","115.45","1.16M","-1.02%"
"08/28/2025","117.10","116.35","117.80","115.53","1.31M","1.21%"
"08/27/2025","115.70","114.25","116.00","114.20","1.24M","1.09%"
"08/26/2025","114.45","116.70","117.05","113.55","3.93M","-5.80%"
"08/25/2025","121.50","128.30","128.55","121.40","1.14M","-5.81%"
"08/22/2025","129.00","128.55","129.35","128.05","457.57K","0.27%"
"08/21/2025","128.65","128.80","128.95","128.05","623.93K","0.04%"
"08/20/2025","128.60","128.65","129.20","128.35","625.06K","-0.31%"
"08/19/2025","129.00","128.00","129.15","128.00","517.53K","0.78%"
"08/18/2025","128.00","129.95","130.20","127.75","481.30K","-1.23%"
"08/15/2025","129.60","128.00","130.00","128.00","825.13K","1.33%"
"08/14/2025","127.90","126.75","128.05","126.75","637.01K","1.03%"
"08/13/2025","126.60","126.00","126.80","125.65","676.18K","1.28%"
"08/12/2025","125.00","125.25","125.45","124.45","549.12K","0.08%"
"08/11/2025","124.90","124.20","124.90","123.75","502.90K","1.01%"
"08/08/2025","123.65","122.85","124.00","122.40","627.41K","0.69%"
"08/07/2025","122.80","121.70","123.75","121.65","1.15M","1.15%"
"08/06/2025","121.40","120.95","122.15","120.80","547.29K","0.66%"
"08/05/2025","120.60","120.95","121.45","120.25","727.08K","0.54%"
"08/04/2025","119.95","119.40","120.65","119.35","694.26K","1.01%"
"08/01/2025","118.75","121.60","121.60","118.75","1.38M","-2.34%"
"07/31/2025","121.60","124.90","125.05","121.60","1.39M","-2.64%"
"07/30/2025","124.90","124.65","125.35","123.85","527.13K","-0.20%"
"07/29/2025","125.15","123.60","125.35","123.60","744.81K","1.46%"
"07/28/2025","123.35","125.15","125.15","123.15","607.95K","-0.68%"
"07/25/2025","124.20","123.60","124.40","122.50","915.63K","0.40%"
"07/24/2025","123.70","125.80","125.90","122.95","853.75K","-1.08%"
"07/23/2025","125.05","123.70","125.05","123.15","973.20K","1.87%"
"07/22/2025","122.75","124.65","124.85","122.45","821.96K","-1.48%"
"07/21/2025","124.60","125.05","125.30","124.25","615.50K","-0.16%"
"07/18/2025","124.80","125.40","125.65","124.55","718.85K","0.32%"
"07/17/2025","124.40","122.90","124.75","122.80","725.48K","1.39%"
"07/16/2025","122.70","123.55","124.15","122.45","974.58K","-0.89%"
"07/15/2025","123.80","125.80","126.00","123.80","952.62K","-1.16%"
"07/14/2025","125.25","125.10","125.70","124.80","922.89K","-0.44%"
"07/11/2025","125.80","125.70","126.35","125.05","755.41K","-0.28%"
"07/10/2025","126.15","127.80","127.80","126.00","882.71K","-0.71%"
"07/09/2025","127.05","125.30","127.25","125.15","809.53K","1.64%"
"07/08/2025","125.00","125.90","126.00","124.45","882.25K","-0.24%"
"07/07/2025","125.30","124.75","125.30","124.50","661.61K","0.85%"
"07/04/2025","124.25","125.00","125.00","123.70","575.23K","-0.80%"
"07/03/2025","125.25","125.05","125.75","124.35","568.11K","0.24%"
"07/02/2025","124.95","126.10","126.45","124.65","821.94K","-0.40%"
"07/01/2025","125.45","125.70","125.80","124.80","736.83K","0.28%"
"06/30/2025","125.10","125.70","125.85","124.40","1.09M","0.08%"
"06/27/2025","125.00","124.80","125.30","124.25","837.27K","0.89%"
"06/26/2025","123.90","123.50","124.50","123.25","766.44K","0.69%"
"06/25/2025","123.05","123.10","124.30","122.70","911.35K","0.08%"
"06/24/2025","122.95","123.00","124.05","122.25","1.20M","1.65%"
"06/23/2025","120.95","121.15","122.60","120.70","790.38K","-0.62%"
"06/20/2025","121.70","122.00","122.10","120.55","2.59M","0.54%"
"06/19/2025","121.05","123.35","123.45","120.90","849.62K","-2.26%"
"06/18/2025","123.85","124.15","124.78","123.60","732.49K","-0.36%"
"06/17/2025","124.30","124.15","124.70","122.55","760.01K","-0.76%"
"06/16/2025","125.25","124.95","125.75","124.90","977.93K","0.48%"
"06/13/2025","124.65","124.40","125.50","124.25","1.14M","-1.19%"
"06/12/2025","126.15","125.05","126.85","124.80","714.27K","0.36%"
"06/11/2025","125.70","125.90","126.15","125.15","921.39K","0.36%"
"06/10/2025","125.25","126.30","126.55","124.80","989.77K","-0.48%"
"06/09/2025","125.85","126.60","126.65","125.45","521.57K","-0.59%"
"06/06/2025","126.60","127.00","127.30","126.25","827.23K","-0.24%"
"06/05/2025","126.90","126.85","127.85","126.20","814.02K","-0.28%"
"06/04/2025","127.25","128.00","128.00","126.30","890.83K","-0.20%"
"06/03/2025","127.50","128.10","128.30","126.90","788.13K","-0.23%"
"06/02/2025","127.80","125.95","127.85","125.85","931.42K","1.55%"
"05/30/2025","125.85","128.55","129.15","125.85","3.39M","-1.60%"
"05/29/2025","127.90","128.65","129.10","127.90","504.27K","-0.23%"
"05/28/2025","128.20","128.10","128.75","127.70","920.41K","-0.27%"
"05/27/2025","128.55","129.15","129.65","128.55","788.25K","-0.62%"
"05/26/2025","129.35","129.45","130.10","128.95","581.25K","0.66%"
"05/23/2025","128.50","129.30","129.55","126.70","1.02M","-0.70%"
"05/22/2025","129.40","129.45","129.70","128.15","852.65K","0.04%"
"05/21/2025","129.35","128.80","129.40","128.20","807.75K","0.43%"
"05/20/2025","128.80","127.55","129.00","127.55","949.80K","0.98%"
"05/19/2025","127.55","127.25","127.55","126.40","627.65K","0.24%"
"05/16/2025","127.25","126.05","127.25","125.80","838.57K","0.83%"
"05/15/2025","126.20","124.35","126.25","123.95","809.82K","1.77%"
"05/14/2025","124.00","123.15","124.70","123.00","871.47K","0.73%"
"05/13/2025","123.10","123.85","124.05","122.35","925.94K","-0.44%"
"05/12/2025","123.65","126.65","127.65","122.80","1.29M","-1.83%"
"05/09/2025","125.95","126.15","126.75","125.45","831.21K","0.28%"
"05/08/2025","125.60","125.75","126.20","124.95","1.13M","0.00%"
"05/07/2025","125.60","126.15","126.30","124.70","977.70K","-0.20%"
"05/06/2025","125.85","125.40","126.00","124.40","1.08M","0.44%"
"05/05/2025","125.30","125.30","125.75","124.65","628.47K","-0.20%"
"05/02/2025","125.55","124.80","125.90","124.20","1.26M","2.41%"
"04/30/2025","122.60","122.55","123.20","122.10","1.96M","0.49%"
"04/29/2025","122.00","121.60","122.90","121.50","1.29M","0.83%"
"04/28/2025","121.00","121.10","122.75","120.85","1.16M","0.12%"
"04/25/2025","120.85","120.00","121.30","118.80","1.29M","0.37%"
"04/24/2025","120.40","119.20","120.40","119.20","909.09K","0.75%"
"04/23/2025","119.50","119.35","119.85","117.50","1.63M","1.36%"
"04/22/2025","117.90","117.10","118.35","116.40","1.25M","-1.50%"
"04/17/2025","119.70","118.65","119.90","118.15","997.03K","-0.25%"
"04/16/2025","120.00","118.00","120.10","117.60","1.37M","1.57%"
"04/15/2025","118.15","115.15","118.30","115.15","1.34M","2.07%"
"04/14/2025","115.75","114.70","116.30","114.20","1.23M","2.21%"
"04/11/2025","113.25","113.35","114.05","110.80","1.39M","1.25%"
"04/10/2025","111.85","113.05","113.90","111.35","1.65M","3.76%"
"04/09/2025","107.80","107.75","109.45","105.90","1.52M","-1.64%"
"04/08/2025","109.60","108.20","110.60","106.45","1.60M","2.43%"
"04/07/2025","107.00","107.00","112.45","104.00","3.91M","-4.72%"
"04/04/2025","112.30","116.85","117.15","111.75","2.55M","-4.63%"
"04/03/2025","117.75","117.60","118.15","116.55","1.48M","-0.42%"
"04/02/2025","118.25","117.05","118.35","117.05","887.37K","0.64%"
"04/01/2025","117.50","116.10","117.60","116.00","787.82K","1.03%"
"03/31/2025","116.30","117.90","118.20","115.95","1.15M","-2.02%"
"03/28/2025","118.70","118.40","119.90","118.40","1.02M","-0.42%"
"03/27/2025","119.20","117.85","119.65","117.50","899.45K","0.34%"
"03/26/2025","118.80","119.70","119.85","118.65","860.97K","-0.42%"
"03/25/2025","119.30","118.60","120.30","118.55","916.54K","0.76%"
"03/24/2025","118.40","119.05","119.45","118.05","746.89K","0.13%"
"03/21/2025","118.25","118.05","119.10","117.95","2.65M","-0.50%"
"03/20/2025","118.85","119.40","119.80","117.70","1.00M","-0.75%"
"03/19/2025","119.75","119.20","120.10","118.70","981.00K","0.29%"
"03/18/2025","119.40","118.50","119.40","117.95","1.12M","0.97%"
"03/17/2025","118.25","117.00","118.50","116.80","1.02M","0.81%"
"03/14/2025","117.30","115.90","117.90","115.50","1.38M","1.08%"
"03/13/2025","116.05","115.45","116.80","115.15","1.07M","-0.09%"
"03/12/2025","116.15","116.10","116.70","115.05","1.15M","1.35%"
"03/11/2025","114.60","116.20","116.90","113.70","1.36M","-1.21%"
"03/10/2025","116.00","117.30","117.75","114.85","1.44M","-0.85%"
"03/07/2025","117.00","117.95","118.15","116.15","1.56M","-1.56%"
"03/06/2025","118.85","118.95","119.00","117.40","1.79M","1.24%"
"03/05/2025","117.40","113.95","118.30","113.05","2.00M","5.06%"
"03/04/2025","111.75","110.80","111.75","110.40","1.31M","0.09%"
"03/03/2025","111.65","110.65","112.15","109.40","954.95K","0.50%"
"02/28/2025","111.10","111.00","111.20","110.20","1.58M","0.50%"
"02/27/2025","110.55","110.90","111.20","109.75","834.36K","-0.23%"
"02/26/2025","110.80","110.00","111.45","109.45","935.49K","1.23%"
"02/25/2025","109.45","108.45","109.93","108.45","740.82K","0.14%"
"02/24/2025","109.30","108.90","109.90","108.60","720.70K","0.69%"
"02/21/2025","108.55","108.05","108.85","107.70","1.16M","0.32%"
"02/20/2025","108.20","108.40","109.15","107.65","807.23K","-0.28%"
"02/19/2025","108.50","109.90","110.25","108.25","915.93K","-1.45%"
"02/18/2025","110.10","109.05","110.50","108.40","948.16K","0.82%"
"02/17/2025","109.20","108.30","109.80","107.50","992.79K","0.78%"
"02/14/2025","108.35","108.00","108.90","107.15","1.46M","0.32%"
"02/13/2025","108.00","107.90","109.40","107.90","1.32M","0.89%"
"02/12/2025","107.05","106.35","107.80","106.35","915.60K","0.23%"
"02/11/2025","106.80","108.30","108.55","106.70","1.01M","-1.29%"
"02/10/2025","108.20","109.85","110.15","107.60","1.00M","-1.50%"
"02/07/2025","109.85","109.35","111.95","109.35","1.75M","2.42%"
"02/06/2025","107.25","105.40","107.65","105.35","1.21M","1.76%"
"02/05/2025","105.40","105.20","105.65","104.90","690.77K","-0.24%"
"02/04/2025","105.65","104.90","106.00","103.40","1.13M","1.44%"
"02/03/2025","104.15","102.75","104.20","102.20","1.25M","-0.33%"
"01/31/2025","104.50","104.40","105.35","104.10","933.48K","0.00%"
"01/30/2025","104.50","103.15","104.80","102.90","573.31K","1.36%"
"01/29/2025","103.10","104.30","104.60","102.85","817.71K","-1.34%"
"01/28/2025","104.50","103.65","105.10","103.40","944.93K","1.01%"
"01/27/2025","103.45","102.20","104.20","102.10","906.51K","1.07%"
"01/24/2025","102.35","104.00","104.60","101.95","890.90K","-1.54%"
"01/23/2025","103.95","103.15","104.05","103.05","824.93K","1.07%"
"01/22/2025","102.85","103.00","103.45","102.40","934.16K","-0.05%"
"01/21/2025","102.90","102.85","103.10","102.25","587.07K","-0.10%"
